# generated by standalone/check-upstream-text.py, scanner 1
# file:line	class	string
src/frontend/sdl/menu.cpp:872	other	 
src/frontend/sdl/menu.cpp:874	other	 
src/frontend/sdl/menu.cpp:1457	other	 
src/frontend/sdl/menu.cpp:1472	other	 
src/frontend/sdl/menu.cpp:1687	other	 
src/frontend/sdl/menu.cpp:634	other	  
src/frontend/sdl/menu.cpp:671	other	  
src/frontend/sdl/menu.cpp:875	other	  
src/frontend/sdl/menu.cpp:1244	other	 >
src/frontend/sdl/menu.cpp:872	other	*
src/frontend/sdl/menu.cpp:872	other	-
src/frontend/sdl/menu.cpp:1240	other	--
src/frontend/sdl/menu.cpp:1399	other	--
src/frontend/sdl/menu.cpp:1400	other	--
src/frontend/sdl/menu.cpp:600	other	...
src/frontend/sdl/menu.cpp:601	other	...
src/frontend/sdl/menu.cpp:1244	other	< 
src/frontend/sdl/menu.cpp:160	other	AaAaAaCcCcCcCcDd
src/frontend/sdl/menu.cpp:155	other	DNOOOOOxOUUUUYTs
src/frontend/sdl/menu.cpp:160	other	DdEeEeEeEeEeGgGg
src/frontend/sdl/menu.cpp:160	other	GgGgHhHhIiIiIiIi
src/frontend/sdl/menu.cpp:160	other	IiIiJjKkkLlLlLlL
src/frontend/sdl/menu.cpp:51	other	N
src/frontend/sdl/menu.cpp:161	other	OoOoRrRrRrSsSsSs
src/frontend/sdl/menu.cpp:634	other	P
src/frontend/sdl/menu.cpp:671	other	P
src/frontend/sdl/menu.cpp:875	other	P
src/frontend/sdl/menu.cpp:161	other	SsTtTtTtUuUuUuUu
src/frontend/sdl/menu.cpp:161	other	UuUuWwYyYZzZzZzs
src/frontend/sdl/menu.cpp:156	other	aaaaaaaceeeeiiii
src/frontend/sdl/menu.cpp:4	other	core/io/io.h
src/frontend/sdl/menu.cpp:156	other	dnooooo/ouuuuyty
src/frontend/sdl/menu.cpp:3	other	frontend/sdl/menu.h
src/frontend/sdl/menu.cpp:161	other	lLlNnNnNnnNnOoOo
src/frontend/sdl/menu.cpp:51	other	n
src/frontend/sdl/menu.cpp:1352	other	none
src/frontend/sdl/menu.cpp:1356	other	none
src/frontend/sdl/menu.cpp:1399	other	none
src/frontend/sdl/menu.cpp:1257	other	nothing
src/frontend/sdl/menu.cpp:136	other	Ōkamiden
src/frontend/sdl/menu.cpp:1270	ui	 - 
src/frontend/sdl/menu.cpp:1430	ui	 0123456789.,!?'-&+()/:@
src/frontend/sdl/menu.cpp:1428	ui	 ABCDEFGHIJKLMNOPQRSTUVWXYZ
src/frontend/sdl/menu.cpp:1429	ui	 abcdefghijklmnopqrstuvwxyz
src/frontend/sdl/menu.cpp:584	ui	 and 
src/frontend/sdl/menu.cpp:968	ui	 and 
src/frontend/sdl/menu.cpp:1685	ui	%d %s
src/frontend/sdl/menu.cpp:344	ui	(M) must be on
src/frontend/sdl/menu.cpp:670	ui	0P
